torso_pitch_des, torso_roll_des, torso_yaw_des, l_shoulder_pitch_des, l_shoulder_roll_des, l_shoulder_yaw_des, l_elbow_des, r_shoulder_pitch_des, r_shoulder_roll_des, r_shoulder_yaw_des, r_elbow_des, l_hip_pitch_des, l_hip_roll_des, l_hip_yaw_des, l_knee_des, l_ankle_pitch_des, l_ankle_roll_des, r_hip_pitch_des, r_hip_roll_des, r_hip_yaw_des, r_knee_des, r_ankle_pitch_des, r_ankle_roll_des, torso_pitch, torso_roll, torso_yaw, l_shoulder_pitch, l_shoulder_roll, l_shoulder_yaw, l_elbow, r_shoulder_pitch, r_shoulder_roll, r_shoulder_yaw, r_elbow, l_hip_pitch, l_hip_roll, l_hip_yaw, l_knee, l_ankle_pitch, l_ankle_roll, r_hip_pitch, r_hip_roll, r_hip_yaw, r_knee, r_ankle_pitch, r_ankle_roll, base_x, base_y, base_z, com_x, com_y, com_z, des_com_x, des_com_y, des_com_z, lf_des_x, lf_des_y, lf_des_z, lf_meas_x, lf_meas_y, lf_meas_z, lf_meas_d_x, lf_meas_d_y, lf_meas_d_z, rf_des_x, rf_des_y, rf_des_z, rf_meas_x, rf_meas_y, rf_meas_z, rf_meas_d_x, rf_meas_d_y, rf_meas_d_z , zmp_des_x, zmp_des_y, zmp_meas_x, zmp_meas_y, dcom_x, dcom_y, dcom_z, des_dcom_x, des_dcom_y, des_dcom_z,d_torso_pitch_des, d_torso_roll_des, d_torso_yaw_des, d_l_shoulder_pitch_des, d_l_shoulder_roll_des, d_l_shoulder_yaw_des, d_l_elbow_des, d_r_shoulder_pitch_des, d_r_shoulder_roll_des, d_r_shoulder_yaw_des, d_r_elbow_des, d_l_hip_pitch_des, d_l_hip_roll_des, d_l_hip_yaw_des, d_l_knee_des, d_l_ankle_pitch_des, d_l_ankle_roll_des, d_r_hip_pitch_des, d_r_hip_roll_des, d_r_hip_yaw_des, d_r_knee_des, d_r_ankle_pitch_des, d_r_ankle_roll_des, d_torso_pitch, d_torso_roll, d_torso_yaw, d_l_shoulder_pitch, d_l_shoulder_roll, d_l_shoulder_yaw, d_l_elbow, d_r_shoulder_pitch, d_r_shoulder_roll, d_r_shoulder_yaw, d_r_elbow, d_l_hip_pitch, d_l_hip_roll, d_l_hip_yaw, d_l_knee, d_l_ankle_pitch, d_l_ankle_roll, d_r_hip_pitch, d_r_hip_roll, d_r_hip_yaw, d_r_knee, d_r_ankle_pitch, d_r_ankle_roll, rf_adj_x, rf_adj_y, rf_adj_z, lf_adj_x, lf_adj_y, lf_adj_z, external_fx, external_fy, external_fz, external_taux, external_tauy, external_tauz, computational_time, ang_mom_x, ang_mom_y, ang_mom_z , contact_0_corner_0_x , contact_0_corner_0_y , contact_0_corner_0_z , contact_0_corner_1_x , contact_0_corner_1_y , contact_0_corner_1_z , contact_0_corner_2_x , contact_0_corner_2_y , contact_0_corner_2_z , contact_0_corner_3_x , contact_0_corner_3_y , contact_0_corner_3_z , contact_1_corner_0_x , contact_1_corner_0_y , contact_1_corner_0_z , contact_1_corner_1_x , contact_1_corner_1_y , contact_1_corner_1_z , contact_1_corner_2_x , contact_1_corner_2_y , contact_1_corner_2_z , contact_1_corner_3_x , contact_1_corner_3_y , contact_1_corner_3_z
0.11472, -0.000712994, 0.00153492, 0.208809, 0.115415, -0.208101, 0.709563, 0.210834, 0.11483, -0.211927, 0.705924, 0.0911376, 0.0246012, -0.00690345, -0.539913, -0.340149, -0.043788, 0.104993, -0.00650648, 0.00361017, -0.570537, -0.356449, 0.0253806, 0.113419, -0.00201335, 0.0025886, 0.210539, 0.105749, -0.207184, 0.700168, 0.211498, 0.106995, -0.211306, 0.697004, 0.0901216, 0.0247355, -0.00987503, -0.541401, -0.341791, -0.0433351, 0.100955, -0.00795754, 0.00882041, -0.576682, -0.354255, 0.0268447, -0.00567773, -0.0236546, 0.747748, 0.00121855, -0.0201091, 0.700187, 0.00196266, -0.0201354, 0.700116, 0, 0.08, 0, -8.32667e-17, 0.08, 3.05311e-16, 0.00133315, 0.0791854, -0.00017879,0, -0.08, 0, -0.00425859, -0.0799626, 0.000560515, 0.00167817, -0.0820318, -0.000127741, 0.00343482, -0.00837589, -0.0494086, -0.0521257, 0.00701391, -0.00689493, 0.00284967, -0.000537279, -0.0021757, 1.72825e-05, 0.0397083, -0.00165081, 0.00284361, 0.00132241, -0.00378219, 0.000584785, -0.000253222, 0.00342275, 0.00309654, -0.000672909, -0.000761454, -0.0109448, 0.0394008, -0.0127135, 0.0111562, 0.0987051, -0.0899441, 0.0272066, -0.0491615, 0.0129001, -0.0702149, 0.0540624, 0.0998994, 0.0029721, -0.0920391, 0.0287622, -0.0022051, -0.0178326, 0.00316384, 0.00488958, 0.00278035, 0.0627016, -0.000575244, -0.0047937, 0.00345147, 0.0367198, 0.00747817, -0.00201335, -0.0142852, 0.00747817, -0.00862866, 0.0507174, 0.0693169, 0.0161068, -0.00153398, -0.0860949, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 73751, -0.000315238, 0.000736372, 1.11667e-05, -0.00573834, -0.0237814, 1.12041, -0.00559598, -0.0230408, 1.09873, -0.00548529, -0.0224895, 1.08528, -0.00562581, -0.0232164, 1.10672, -0.00797242, -0.0320364, 1.3699, -0.00780495, -0.0311632, 1.34459, -0.00766915, -0.0304895, 1.32881, -0.00783596, -0.0313529, 1.35394
0.115099, -0.000741505, 0.00156914, 0.208821, 0.115382, -0.208096, 0.709564, 0.210872, 0.114881, -0.211937, 0.70592, 0.0910121, 0.0250872, -0.00705712, -0.539603, -0.338976, -0.0448835, 0.105329, -0.00708644, 0.00376814, -0.571212, -0.355812, 0.0265727, 0.113419, -0.00306797, 0.00278035, 0.210444, 0.104982, -0.207088, 0.700743, 0.211402, 0.1069, -0.21121, 0.698059, 0.0901216, 0.0246396, -0.00977915, -0.541305, -0.341791, -0.0433351, 0.100955, -0.00805342, 0.00910803, -0.576682, -0.354446, 0.0270365, -0.00564959, -0.0236549, 0.747747, 0.00125061, -0.0202138, 0.700181, 0.00195729, -0.0201572, 0.700116, 0, 0.08, 0, 2.77556e-17, 0.08, 5.55112e-17, 0.00115186, 0.0795118, -0.000190514,0, -0.08, 0, -0.0042916, -0.0797757, 0.000561062, 0.00148545, -0.0816446, -7.69603e-05, 0.00324732, -0.00801618, -0.0498346, -0.0579532, 0.00652335, -0.00772843, 0.00211408, -0.00107456, -0.0043514, 3.4565e-05, 0.0378701, -0.00285102, 0.003422, 0.00123755, -0.00323636, 0.000494235, 0.000166521, 0.00380984, 0.00518351, -0.00104393, -0.000452849, -0.0125514, 0.048601, -0.0153672, 0.0309543, 0.117322, -0.109548, 0.0335825, -0.0579965, 0.0157975, -0.0675454, 0.0636387, 0.119215, 0.00354734, -0.0671118, 0.0182161, -0.00210923, -0.0309673, 0.00373909, 0.0073823, 0.0022051, 0.0501421, -0.000862866, 0, 0.00383496, 0.0328848, 0.00872454, 0, -0.0120801, 0.00201335, -0.00613594, 0.0443897, 0.0553193, 0.0161068, -0.00623181, -0.0834104, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 73751, -0.000630476, 0.00147274, 2.23334e-05, -0.00573834, -0.0237814, 1.12041, -0.00559598, -0.0230408, 1.09873, -0.00548529, -0.0224895, 1.08528, -0.00562581, -0.0232164, 1.10672, -0.00797242, -0.0320364, 1.3699, -0.00780495, -0.0311632, 1.34459, -0.00766915, -0.0304895, 1.32881, -0.00783596, -0.0313529, 1.35394
0.115458, -0.000779152, 0.00160776, 0.208833, 0.115353, -0.208092, 0.709569, 0.210913, 0.114948, -0.21195, 0.705917, 0.0908712, 0.0256432, -0.00723074, -0.539149, -0.337686, -0.0461293, 0.105709, -0.0077327, 0.00394851, -0.571873, -0.355127, 0.0279121, 0.113515, -0.00364321, 0.00268447, 0.210252, 0.104215, -0.207184, 0.701798, 0.211306, 0.106516, -0.211115, 0.699593, 0.0901216, 0.0246396, -0.00977915, -0.541209, -0.341599, -0.0435268, 0.100955, -0.00834104, 0.00929978, -0.576778, -0.354542, 0.0273241, -0.00574056, -0.0237853, 0.74774, 0.00117737, -0.0203695, 0.700172, 0.00194654, -0.0202007, 0.700116, 0, 0.08, 0, 0, 0.08, 2.498e-16, 0.00103974, 0.0798254, -0.00021854,0, -0.08, 0, -0.00434323, -0.079545, 0.00056182, 0.00137162, -0.0812731, -3.94739e-05, 0.00313428, -0.00767076, -0.0493431, -0.0618247, 0.00344598, -0.00762013, 0.00132689, -0.00161184, -0.0065271, 5.18474e-05, 0.0359651, -0.00376474, 0.00386147, 0.00112497, -0.00292604, 0.000445372, 0.000463058, 0.00405548, 0.00666704, -0.00130634, -0.000240976, -0.0140948, 0.0556021, -0.0173619, 0.04543, 0.129015, -0.124576, 0.0380771, -0.0646256, 0.0180372, -0.0660276, 0.0685035, 0.133943, 0.00891629, -0.0316384, -0.00383496, -0.00402671, -0.0455402, 0.00412258, 0.0110255, -0.00047937, 0.0379661, -0.00105461, 0.00488958, 0.00393084, 0.0298168, 0.00987503, -0.000191748, -0.00661531, -0.00431433, -0.00450608, 0.0340353, 0.04717, 0.012943, -0.00431433, -0.0716179, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 73751, -0.00094358, 0.00220859, 3.35001e-05, -0.00573834, -0.0237814, 1.12041, -0.00559598, -0.0230408, 1.09873, -0.00548529, -0.0224895, 1.08528, -0.00562581, -0.0232164, 1.10672, -0.00797242, -0.0320364, 1.3699, -0.00780495, -0.0311632, 1.34459, -0.00766915, -0.0304895, 1.32881, -0.00783596, -0.0313529, 1.35394
0.115765, -0.000823985, 0.00164826, 0.208842, 0.115331, -0.208089, 0.709577, 0.210953, 0.115029, -0.211966, 0.705918, 0.0907242, 0.0262403, -0.00741521, -0.538541, -0.336343, -0.0474549, 0.106118, -0.00841613, 0.00414297, -0.572453, -0.354427, 0.0293283, 0.113611, -0.00421846, 0.0025886, 0.210156, 0.104023, -0.207088, 0.702757, 0.21121, 0.106133, -0.211019, 0.699785, 0.0902175, 0.0245438, -0.00968328, -0.541209, -0.34112, -0.0442938, 0.100955, -0.00862866, 0.0095874, -0.57697, -0.354542, 0.0277076, -0.00605548, -0.0243052, 0.747661, 0.000891578, -0.0208852, 0.700099, 0.00193042, -0.020266, 0.700117, 0, 0.08, 0, 1.38778e-17, 0.08, 4.16334e-17, 0.000959574, 0.0803074, -0.000256258,0, -0.08, 0, -0.00446197, -0.079181, 0.000461571, 0.00127444, -0.0807364, -0.0001105, 0.00304487, -0.00715883, -0.0474821, -0.0653144, -0.00336949, -0.0169466, -0.000216398, -0.00214912, -0.0087028, 6.91299e-05, 0.0306778, -0.00448329, 0.0040504, 0.000906124, -0.00220783, 0.000331707, 0.000822067, 0.00404856, 0.00807775, -0.00154556, 6.9064e-05, -0.0146933, 0.0597102, -0.0184467, 0.0607732, 0.134326, -0.132558, 0.040888, -0.0683429, 0.0194455, -0.0579974, 0.0699872, 0.141615, 0.00172573, -0.0268447, -0.00575244, -0.00623181, -0.047937, 0.00306797, 0.0158192, -0.00143811, 0.0276117, -0.00115049, 0.00690293, 0.00393084, 0.0259819, 0.00843691, 0.00115049, 0.00546482, -0.0215717, -0.00047937, 0.0181202, 0.0394042, 0.00824517, 0, -0.0522513, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 73751, -0.00125242, 0.00294338, 4.46667e-05, -0.00573834, -0.0237814, 1.12041, -0.00559598, -0.0230408, 1.09873, -0.00548529, -0.0224895, 1.08528, -0.00562581, -0.0232164, 1.10672, -0.00797242, -0.0320364, 1.3699, -0.00780495, -0.0311632, 1.34459, -0.00766915, -0.0304895, 1.32881, -0.00783596, -0.0313529, 1.35394
0.116042, -0.00086522, 0.00168745, 0.208849, 0.115306, -0.208085, 0.709585, 0.210991, 0.115104, -0.21198, 0.705918, 0.0905695, 0.026823, -0.00759465, -0.537965, -0.335123, -0.048742, 0.106504, -0.00908076, 0.00433406, -0.573031, -0.353834, 0.0307019, 0.113707, -0.00450608, 0.00249272, 0.210156, 0.104119, -0.207088, 0.702373, 0.21121, 0.105653, -0.211019, 0.699785, 0.0902175, 0.0246396, -0.00968328, -0.541017, -0.340257, -0.0458278, 0.101147, -0.00929978, 0.00987503, -0.577066, -0.354542, 0.0282828, -0.00654893, -0.0253449, 0.747539, 0.000448605, -0.0218118, 0.699986, 0.00190893, -0.020353, 0.700118, 0, 0.08, 0, -1.38778e-17, 0.08, -4.996e-16, 0.00096674, 0.0807158, -0.000286284,0, -0.08, 0, -0.00435893, -0.0786549, 0.000288977, 0.00127113, -0.0802759, -0.000257628, 0.00304635, -0.00672194, -0.04371, -0.0669514, -0.0158405, -0.0338193, -0.00293111, -0.00268639, -0.0108785, 8.64124e-05, 0.0277347, -0.00412345, 0.00391879, 0.000699579, -0.00246456, 0.000384749, 0.000732793, 0.00374515, 0.00751589, -0.00143686, 2.08346e-06, -0.0154746, 0.0582721, -0.0179439, 0.0576491, 0.121945, -0.12871, 0.038571, -0.0664632, 0.0191093, -0.0578471, 0.059395, 0.137358, 0.00891629, -0.0095874, -0.00862866, -0.00565657, -0.039596, 0.0022051, 0.016778, -0.0029721, 0.0120801, -0.00124636, 0.00814929, 0.00613594, 0.0224345, 0.00690293, 0.00230098, 0.0278993, -0.0535936, 0.00278035, -0.00143811, 0.0340353, 0.00105461, 0.00345147, -0.0268447, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 73751, -0.00155485, 0.00367659, 5.58334e-05, -0.00573834, -0.0237814, 1.12041, -0.00559598, -0.0230408, 1.09873, -0.00548529, -0.0224895, 1.08528, -0.00562581, -0.0232164, 1.10672, -0.00797242, -0.0320364, 1.3699, -0.00780495, -0.0311632, 1.34459, -0.00766915, -0.0304895, 1.32881, -0.00783596, -0.0313529, 1.35394
0.116202, -0.000903944, 0.0017221, 0.208852, 0.115298, -0.208083, 0.709595, 0.211021, 0.115183, -0.211995, 0.705922, 0.0904452, 0.0273305, -0.00774988, -0.537306, -0.334057, -0.0498421, 0.10685, -0.00966534, 0.00450341, -0.573377, -0.353313, 0.031884, 0.11409, -0.00421846, 0.00230098, 0.210252, 0.104503, -0.207184, 0.70151, 0.21121, 0.105653, -0.211019, 0.699497, 0.0902175, 0.0248314, -0.00968328, -0.540825, -0.338915, -0.0483205, 0.101147, -0.00968328, 0.0102585, -0.577258, -0.354638, 0.0290498, -0.00735395, -0.0270331, 0.747329, -0.000290006, -0.0233071, 0.699795, 0.00188207, -0.0204618, 0.700118, 0, 0.08, 0, 1.38778e-17, 0.08, 6.245e-16, 0.0010194, 0.081113, -0.000299505,0, -0.08, 0, -0.00438296, -0.0783364, -6.06519e-06, 0.00130648, -0.079829, -0.000529915, 0.00308962, -0.00629755, -0.0381217, -0.0667381, -0.0322819, -0.0559584, -0.00583408, -0.00322367, -0.0130542, 0.000103695, 0.0159755, -0.0038725, 0.00346492, 0.000348951, -0.000866868, 0.000127664, 0.00106879, 0.00301977, 0.00787753, -0.00146724, 0.000430768, -0.0124245, 0.0507479, -0.0155233, 0.0659147, 0.106633, -0.110019, 0.0345824, -0.0584583, 0.0169346, -0.0345959, 0.0520505, 0.118212, 0.025119, 0.0095874, -0.0172573, -0.00460195, -0.025886, 0.00153398, 0.0158192, -0.0025886, 0.00325972, -0.00124636, 0.00891629, 0.00565657, 0.0225304, 0.00546482, 0.0069988, 0.0594419, -0.0938607, 0.00594419, -0.0157233, 0.0323095, -0.00354734, 0.00613594, 0.00527307, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 73751, -0.00184875, 0.00440769, 6.70001e-05, -0.00573834, -0.0237814, 1.12041, -0.00559598, -0.0230408, 1.09873, -0.00548529, -0.0224895, 1.08528, -0.00562581, -0.0232164, 1.10672, -0.00797242, -0.0320364, 1.3699, -0.00780495, -0.0311632, 1.34459, -0.00766915, -0.0304895, 1.32881, -0.00783596, -0.0313529, 1.35394
0.116275, -0.000939065, 0.00175261, 0.208853, 0.115297, -0.208083, 0.709607, 0.211045, 0.115259, -0.212009, 0.705929, 0.0903386, 0.0277709, -0.00788369, -0.536634, -0.333168, -0.0507831, 0.107151, -0.0101783, 0.0046529, -0.573578, -0.352899, 0.0329024, 0.114569, -0.00383496, 0.00210923, 0.210348, 0.10479, -0.207184, 0.701031, 0.21121, 0.105845, -0.211019, 0.699018, 0.0902175, 0.0253107, -0.00968328, -0.540154, -0.337764, -0.0503339, 0.101243, -0.0101626, 0.0102585, -0.577353, -0.354638, 0.0296251, -0.00787519, -0.0283959, 0.747231, -0.000745861, -0.0244809, 0.699704, 0.00184983, -0.0205923, 0.700119, 0, 0.08, 0, -1.38778e-17, 0.08, 0, 0.000930636, 0.0812216, -0.000289769,0, -0.08, 0, -0.00452292, -0.0782418, -0.000159146, 0.00119577, -0.0796731, -0.000671927, 0.00298894, -0.00616323, -0.0309721, -0.0648144, -0.0402379, -0.0685199, -0.00662902, -0.00376095, -0.0152299, 0.000120977, 0.00728119, -0.00351207, 0.00305175, 4.04211e-05, -3.77431e-05, 4.00176e-08, 0.00118879, 0.00236913, 0.00758662, -0.00138987, 0.000633917, -0.0106634, 0.0440417, -0.0133815, 0.0671493, 0.0889089, -0.0940988, 0.0300875, -0.0512927, 0.0149488, -0.0200663, 0.0413879, 0.101843, 0.025119, 0.0287622, -0.0134224, -0.00393084, -0.0153398, 0.00115049, 0.0148605, 0, -0.000575244, -0.00124636, 0.00929978, 0.00498545, 0.0283787, 0.00402671, 0.0189831, 0.0793837, -0.119076, 0.00939566, -0.0306797, 0.0255984, -0.00651943, 0.00575244, 0.0354734, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 73751, -0.00213199, 0.00513616, 7.81668e-05, -0.00573834, -0.0237814, 1.12041, -0.00559598, -0.0230408, 1.09873, -0.00548529, -0.0224895, 1.08528, -0.00562581, -0.0232164, 1.10672, -0.00797242, -0.0320364, 1.3699, -0.00780495, -0.0311632, 1.34459, -0.00766915, -0.0304895, 1.32881, -0.00783596, -0.0313529, 1.35394
0.11629, -0.000970996, 0.00177999, 0.208851, 0.1153, -0.208084, 0.709619, 0.211063, 0.115329, -0.212021, 0.705935, 0.0902388, 0.0281613, -0.0080016, -0.535988, -0.332439, -0.0516114, 0.107412, -0.010637, 0.00478736, -0.573705, -0.352593, 0.0338039, 0.115049, -0.00335559, 0.0022051, 0.210348, 0.104982, -0.207184, 0.700552, 0.21121, 0.105941, -0.211115, 0.698826, 0.0903133, 0.0259819, -0.00968328, -0.539387, -0.337093, -0.051772, 0.101531, -0.010642, 0.0101626, -0.577258, -0.354638, 0.0303921, -0.00805705, -0.0293677, 0.747211, -0.000858379, -0.0252766, 0.699683, 0.00181222, -0.0207446, 0.700121, 0, 0.08, 0, -4.16334e-17, 0.08, 1.38778e-17, 0.000718102, 0.0811096, -0.00028713,0, -0.08, 0, -0.00460311, -0.0783552, -0.000216679, 0.000959744, -0.0797403, -0.000711422, 0.00276365, -0.00625086, -0.0228992, -0.0616119, -0.0411368, -0.0730041, -0.0058206, -0.00429823, -0.0174056, 0.00013826, 0.00153453, -0.00319304, 0.00273761, -0.000202933, 0.000235291, -3.55388e-05, 0.00117762, 0.00186745, 0.0070193, -0.00127187, 0.000684713, -0.00998072, 0.0390432, -0.0117905, 0.0646345, 0.0728885, -0.0828261, 0.0261082, -0.0458715, 0.0134463, -0.0126888, 0.0306253, 0.0901508, 0.0359528, 0.0383496, -0.00095874, -0.00095874, -0.00594419, -0.00047937, 0.0127512, 0, -0.00230098, -0.00115049, 0.00920391, 0.00441021, 0.0381579, 0.00306797, 0.0324054, 0.0892587, -0.129718, 0.0132306, -0.0423763, 0.016011, -0.0077658, 0.00910803, 0.0649067, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 73751, -0.00240242, 0.00586147, 8.93335e-05, -0.00573834, -0.0237814, 1.12041, -0.00559598, -0.0230408, 1.09873, -0.00548529, -0.0224895, 1.08528, -0.00562581, -0.0232164, 1.10672, -0.00797242, -0.0320364, 1.3699, -0.00780495, -0.0311632, 1.34459, -0.00766915, -0.0304895, 1.32881, -0.00783596, -0.0313529, 1.35394
0.116256, -0.00100107, 0.00180634, 0.208846, 0.115301, -0.208084, 0.70963, 0.211078, 0.115394, -0.212033, 0.705942, 0.0901341, 0.0285262, -0.00811015, -0.53536, -0.331859, -0.0523837, 0.107643, -0.0110662, 0.00491388, -0.573798, -0.352409, 0.0346458, 0.115816, -0.00287622, 0.0022051, 0.210444, 0.104886, -0.207184, 0.700456, 0.21121, 0.106037, -0.211115, 0.699018, 0.0905051, 0.0264612, -0.00977915, -0.53862, -0.336518, -0.0526348, 0.10201, -0.0111214, 0.0101626, -0.577162, -0.354446, 0.0311591, -0.0081675, -0.0299529, 0.747239, -0.000869371, -0.0257191, 0.699706, 0.00176924, -0.0209187, 0.700122, 0, 0.08, 0, -2.77556e-17, 0.08, -2.91434e-16, 0.000433949, 0.0810502, -0.000278105,0, -0.08, 0, -0.00462189, -0.0783688, -0.000213376, 0.000674543, -0.0797572, -0.000688667, 0.00247893, -0.00628687, -0.0148043, -0.0577201, -0.0386288, -0.07315, -0.00443252, -0.00483551, -0.0195813, 0.000155542, -0.00339869, -0.00300731, 0.00263539, -0.000483811, 0.000178419, -1.33414e-05, 0.00113729, 0.00144593, 0.00651354, -0.00116762, 0.000677576, -0.0104671, 0.036484, -0.0108546, 0.062793, 0.0579538, -0.0772319, 0.0230883, -0.0429217, 0.0126518, -0.00931123, 0.0184116, 0.0841872, 0.0509091, 0.029721, 0, 0.00153398, -0.00249272, -0.00191748, 0.00987503, 0, -0.00354734, -0.00105461, 0.00891629, 0.00393084, 0.04717, 0.00239685, 0.0423763, 0.0926143, -0.129813, 0.021284, -0.047937, 0.00805342, -0.00690293, 0.0139017, 0.0837939, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 73751, -0.00265792, 0.00658309, 0.0001005, -0.00573834, -0.0237814, 1.12041, -0.00559598, -0.0230408, 1.09873, -0.00548529, -0.0224895, 1.08528, -0.00562581, -0.0232164, 1.10672, -0.00797242, -0.0320364, 1.3699, -0.00780495, -0.0311632, 1.34459, -0.00766915, -0.0304895, 1.32881, -0.00783596, -0.0313529, 1.35394
0.116129, -0.00103845, 0.00183218, 0.208838, 0.115318, -0.208086, 0.709646, 0.211089, 0.115472, -0.212047, 0.705954, 0.0900486, 0.0288696, -0.00821062, -0.534584, -0.331297, -0.0531008, 0.107872, -0.0114705, 0.00503446, -0.573699, -0.352218, 0.0354293, 0.116583, -0.00249272, 0.0022051, 0.210348, 0.10479, -0.207184, 0.701127, 0.21121, 0.106133, -0.211115, 0.699305, 0.090601, 0.0271324, -0.00968328, -0.537757, -0.336038, -0.0534977, 0.102298, -0.0115049, 0.0101626, -0.57697, -0.35435, 0.0318302, -0.00819881, -0.0305348, 0.747286, -0.000818819, -0.0261722, 0.699744, 0.00172089, -0.0211145, 0.700124, 0, 0.08, 0, 6.93889e-17, 0.08, -2.63678e-16, 0.000178733, 0.0808646, -0.000263929,0, -0.08, 0, -0.00474496, -0.0785541, -0.000191512, 0.000382774, -0.0799025, -0.000641875, 0.00220387, -0.00645075, -0.00824691, -0.0540768, -0.0340789, -0.068103, -0.00219901, -0.00537279, -0.021757, 0.000172825, -0.012694, -0.00373782, 0.00258322, -0.000743291, 0.00168579, -0.000259558, 0.00158586, 0.00111131, 0.00776306, -0.00136563, 0.0011473, -0.00855554, 0.0343402, -0.0100474, 0.0775485, 0.0562372, -0.0717052, 0.0228964, -0.0404309, 0.0120584, 0.00986122, 0.0190444, 0.0783499, 0.0575244, 0.0268447, 0.00191748, -0.000191748, -9.5874e-05, -0.00191748, 0.00853279, 0, -0.00191748, -0.00095874, 0.00853279, 0.00565657, 0.0575244, 0.00162986, 0.0514844, 0.0914638, -0.122239, 0.0275158, -0.0508132, 0.00287622, -0.00527307, 0.0179284, 0.0978874, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 73751, -0.00289634, 0.00730049, 0.000111667, -0.00573834, -0.0237814, 1.12041, -0.00559598, -0.0230408, 1.09873, -0.00548529, -0.0224895, 1.08528, -0.00562581, -0.0232164, 1.10672, -0.00797242, -0.0320364, 1.3699, -0.00780495, -0.0311632, 1.34459, -0.00766915, -0.0304895, 1.32881, -0.00783596, -0.0313529, 1.35394
