torso_pitch_des, torso_roll_des, torso_yaw_des, l_shoulder_pitch_des, l_shoulder_roll_des, l_shoulder_yaw_des, l_elbow_des, r_shoulder_pitch_des, r_shoulder_roll_des, r_shoulder_yaw_des, r_elbow_des, l_hip_pitch_des, l_hip_roll_des, l_hip_yaw_des, l_knee_des, l_ankle_pitch_des, l_ankle_roll_des, r_hip_pitch_des, r_hip_roll_des, r_hip_yaw_des, r_knee_des, r_ankle_pitch_des, r_ankle_roll_des, torso_pitch, torso_roll, torso_yaw, l_shoulder_pitch, l_shoulder_roll, l_shoulder_yaw, l_elbow, r_shoulder_pitch, r_shoulder_roll, r_shoulder_yaw, r_elbow, l_hip_pitch, l_hip_roll, l_hip_yaw, l_knee, l_ankle_pitch, l_ankle_roll, r_hip_pitch, r_hip_roll, r_hip_yaw, r_knee, r_ankle_pitch, r_ankle_roll, base_x, base_y, base_z, com_x, com_y, com_z, des_com_x, des_com_y, des_com_z, lf_des_x, lf_des_y, lf_des_z, lf_meas_x, lf_meas_y, lf_meas_z, lf_meas_d_x, lf_meas_d_y, lf_meas_d_z, rf_des_x, rf_des_y, rf_des_z, rf_meas_x, rf_meas_y, rf_meas_z, rf_meas_d_x, rf_meas_d_y, rf_meas_d_z , zmp_des_x, zmp_des_y, zmp_meas_x, zmp_meas_y, dcom_x, dcom_y, dcom_z, des_dcom_x, des_dcom_y, des_dcom_z,d_torso_pitch_des, d_torso_roll_des, d_torso_yaw_des, d_l_shoulder_pitch_des, d_l_shoulder_roll_des, d_l_shoulder_yaw_des, d_l_elbow_des, d_r_shoulder_pitch_des, d_r_shoulder_roll_des, d_r_shoulder_yaw_des, d_r_elbow_des, d_l_hip_pitch_des, d_l_hip_roll_des, d_l_hip_yaw_des, d_l_knee_des, d_l_ankle_pitch_des, d_l_ankle_roll_des, d_r_hip_pitch_des, d_r_hip_roll_des, d_r_hip_yaw_des, d_r_knee_des, d_r_ankle_pitch_des, d_r_ankle_roll_des, d_torso_pitch, d_torso_roll, d_torso_yaw, d_l_shoulder_pitch, d_l_shoulder_roll, d_l_shoulder_yaw, d_l_elbow, d_r_shoulder_pitch, d_r_shoulder_roll, d_r_shoulder_yaw, d_r_elbow, d_l_hip_pitch, d_l_hip_roll, d_l_hip_yaw, d_l_knee, d_l_ankle_pitch, d_l_ankle_roll, d_r_hip_pitch, d_r_hip_roll, d_r_hip_yaw, d_r_knee, d_r_ankle_pitch, d_r_ankle_roll, rf_adj_x, rf_adj_y, rf_adj_z, lf_adj_x, lf_adj_y, lf_adj_z, external_fx, external_fy, external_fz, external_taux, external_tauy, external_tauz, computational_time, ang_mom_x, ang_mom_y, ang_mom_z , contact_0_corner_0_x , contact_0_corner_0_y , contact_0_corner_0_z , contact_0_corner_1_x , contact_0_corner_1_y , contact_0_corner_1_z , contact_0_corner_2_x , contact_0_corner_2_y , contact_0_corner_2_z , contact_0_corner_3_x , contact_0_corner_3_y , contact_0_corner_3_z , contact_1_corner_0_x , contact_1_corner_0_y , contact_1_corner_0_z , contact_1_corner_1_x , contact_1_corner_1_y , contact_1_corner_1_z , contact_1_corner_2_x , contact_1_corner_2_y , contact_1_corner_2_z , contact_1_corner_3_x , contact_1_corner_3_y , contact_1_corner_3_z
0.11414, -0.00183184, 0.00262788, -0.463634, 0.0670317, 0.000293157, 1.23256, -0.461568, 0.0694359, -0.000412825, 1.22822, 0.0902229, 0.0248608, -0.00567037, -0.544868, -0.342558, -0.0426942, 0.103311, -0.00633128, 0.00204764, -0.573665, -0.357345, 0.0236438, 0.12339, -0.00115049, -0.000766992, -0.455498, 0.0579079, 0, 1.19938, -0.453197, 0.0568533, 0.000575244, 1.19545, 0.0961617, 0.0232015, -0.00690293, -0.54629, -0.346009, -0.0454443, 0.102585, -0.00766992, 0.00287622, -0.577833, -0.358952, 0.0236809, -0.004821, -0.0250456, 0.746973, 0.0199147, -0.0215659, 0.70825, 0.0193296, -0.0208247, 0.709264, 0, 0.08, 0, -1.38778e-17, 0.08, 1.249e-16, -0.00446949, 0.0811489, -2.61381e-05,0, -0.08, 0, -0.00635437, -0.0791963, -0.000295899, -0.00450527, -0.0804066, -0.000758597, 0.014141, -0.00214842, 0.0567783, -0.0149464, 0.00127716, 0.0141667, 0.00105833, -0.00503688, -0.00190767, 0.000101684, -0.0446458, -0.000195419, 0.0025588, -0.00551896, 0.00120949, -0.000325376, 0.00162708, -0.00486978, 0.00298224, -0.00086434, 0.00147391, -0.00972656, 0.00834191, -0.000783163, 0.0609306, -0.0390787, -0.0163243, 0.00155359, -0.0196688, 0.00504752, 0.0387234, -0.0535504, 0.0290427, 0, 0.107379, 0.0201335, -0.00047937, -0.00766992, -0.000287622, 0.00201335, -0.0150522, -0.00230098, 0.0022051, 0.0269406, 0.0117925, 0.0141894, 0.0172573, -0.00862866, -0.00671118, 0.0112173, -0.00239685, 0.0568533, 0.0185037, 0.0373909, 0.0158192, -0.0985585, 0, -0.08, 0, 0, 0.08, 0, 0.0608823, -0.225672, 0, 0.0176355, -0.0293964, 0.0177107, 25378, -0.0012714, 0.0067964, 0.00020788, -0.0848911, -0.0886069, 1.2427, -0.0855602, -0.0886069, 1.17644, -0.0855602, -0.0868226, 1.03776, -0.0848911, -0.0868226, 1.10402, -0.0903486, -0.0147998, 1.4165, -0.0910173, -0.0147998, 1.35019, -0.0910173, -0.0130166, 1.21145, -0.0903486, -0.0130166, 1.27776
0.113738, -0.00184161, 0.00266103, -0.463688, 0.067039, 0.000291372, 1.23258, -0.461613, 0.0694692, -0.000422547, 1.22823, 0.0901098, 0.0250001, -0.00569289, -0.544242, -0.34285, -0.0429834, 0.103359, -0.00657886, 0.00211124, -0.573366, -0.357835, 0.0240547, 0.123294, -9.5874e-05, -0.000575244, -0.455593, 0.057812, 0, 1.19958, -0.453292, 0.0572368, 0.000671118, 1.19536, 0.0960658, 0.023585, -0.00690293, -0.546098, -0.345914, -0.0454443, 0.102585, -0.00786167, 0.00287622, -0.577833, -0.358952, 0.0242561, -0.00482316, -0.0250428, 0.747021, 0.0199059, -0.0214315, 0.708304, 0.0192793, -0.0208438, 0.709265, 0, 0.08, 0, 1.38778e-17, 0.08, 2.22045e-16, -0.00424862, 0.0809234, -5.87117e-05,0, -0.08, 0, -0.00636188, -0.0793768, -0.000221669, -0.0042883, -0.0805544, -0.000708344, 0.0143603, -0.00233435, 0.0556001, -0.0183048, 0.00235441, 0.00829177, 0.00257613, -0.0100738, -0.00381534, 0.000203367, -0.040164, -0.000976677, 0.00331444, -0.0054862, 0.000724723, -0.000178538, 0.00165158, -0.00450275, 0.00332921, -0.000972206, 0.00141737, -0.0113158, 0.0139344, -0.00225246, 0.0625054, -0.0291818, -0.0289204, 0.00482216, -0.0247588, 0.00636024, 0.0298865, -0.0490411, 0.0410904, -0.0119843, 0.0651943, 0.0249272, 0, -0.00613594, 9.5874e-05, -9.5874e-05, -0.0201335, 0.00373909, 0.00153398, 0.0371991, 0.0131347, 0.0273241, 0.0138059, -0.00182161, -0.00565657, 0.00920391, -0.00325972, 0.0646191, 0.0111214, 0.0398836, 0.014477, -0.0993255, 0, -0.08, 0, 0, 0.08, 0, 0.0472117, -0.338678, 0, 0.0206251, -0.0307275, 0.0353962, 25378, -0.0025428, 0.0135928, 0.000415759, -0.0848911, -0.0886069, 1.2427, -0.0855602, -0.0886069, 1.17644, -0.0855602, -0.0868226, 1.03776, -0.0848911, -0.0868226, 1.10402, -0.0903486, -0.0147998, 1.4165, -0.0910173, -0.0147998, 1.35019, -0.0910173, -0.0130166, 1.21145, -0.0903486, -0.0130166, 1.27776
0.113384, -0.00185955, 0.00270233, -0.463745, 0.0670419, 0.000290919, 1.2326, -0.461656, 0.0695069, -0.000433622, 1.22825, 0.0899816, 0.0251982, -0.00573092, -0.543596, -0.343014, -0.0434031, 0.103444, -0.00688058, 0.00218859, -0.573156, -0.358255, 0.024591, 0.122719, 0.00047937, -0.000383496, -0.455593, 0.0577162, 0, 1.19977, -0.453197, 0.0577162, 0.000671118, 1.19478, 0.0959699, 0.0237768, -0.00690293, -0.545907, -0.345914, -0.0454443, 0.102489, -0.00795754, 0.00316384, -0.577833, -0.359048, 0.0245438, -0.0047602, -0.0250418, 0.747052, 0.0199201, -0.021363, 0.708343, 0.0191785, -0.0208819, 0.709267, 0, 0.08, 0, 2.77556e-17, 0.08, -2.22045e-16, -0.00405444, 0.0808707, -9.06837e-05,0, -0.08, 0, -0.00643659, -0.0794201, -0.000172375, -0.00409154, -0.0805334, -0.000677988, 0.0145561, -0.00234877, 0.0541826, -0.021779, 0.00441572, 0.00370231, 0.00421227, -0.0151106, -0.00572302, 0.000305051, -0.0353823, -0.00179441, 0.00413054, -0.00562244, 0.000288917, -4.52926e-05, 0.00175871, -0.00428814, 0.00377054, -0.00110743, 0.00143978, -0.0128188, 0.0198066, -0.00380287, 0.0646273, -0.0164447, -0.0419655, 0.00842845, -0.0301719, 0.00773421, 0.021076, -0.041966, 0.0536278, -0.0395001, 0.0306797, 0.0191748, 0.000383496, -0.0047937, 0.000287622, -0.00115049, -0.0164903, 0.0134224, 0.00115049, 0.0350899, 0.0136141, 0.0361445, 0.0107379, 0.00843691, -0.00613594, 0.0073823, -0.00393084, 0.0667283, 0.00536895, 0.0373909, 0.0099709, -0.0952029, 0, -0.08, 0, 0, 0.08, 0, 0.0710987, -0.374947, 0, 0.0220265, -0.0313576, 0.0412171, 25378, -0.00381234, 0.0203843, 0.000623568, -0.0848911, -0.0886069, 1.2427, -0.0855602, -0.0886069, 1.17644, -0.0855602, -0.0868226, 1.03776, -0.0848911, -0.0868226, 1.10402, -0.0903486, -0.0147998, 1.4165, -0.0910173, -0.0147998, 1.35019, -0.0910173, -0.0130166, 1.21145, -0.0903486, -0.0130166, 1.27776
0.113099, -0.00188454, 0.00275075, -0.463801, 0.0670403, 0.000291808, 1.23262, -0.461695, 0.0695481, -0.000445756, 1.22826, 0.0898435, 0.0254489, -0.00578361, -0.542956, -0.343018, -0.0439395, 0.103564, -0.00723087, 0.00227777, -0.573048, -0.358565, 0.0252392, 0.122048, 0.000671118, -9.5874e-05, -0.455593, 0.0574285, 9.5874e-05, 1.20006, -0.452909, 0.0581955, 0.000671118, 1.19392, 0.095874, 0.0238726, -0.00690293, -0.545427, -0.346009, -0.0455402, 0.102585, -0.00824517, 0.00316384, -0.577737, -0.359336, 0.0246396, -0.00453476, -0.0251077, 0.74709, 0.0201023, -0.021395, 0.708375, 0.0190274, -0.0209391, 0.70927, 0, 0.08, 0, 8.32667e-17, 0.08, -2.498e-16, -0.00400394, 0.0809288, -9.93745e-05,0, -0.08, 0, -0.00642918, -0.0792843, -0.000131122, -0.00403305, -0.0804052, -0.000644625, 0.014611, -0.00225351, 0.052522, -0.0249372, 0.00974737, -0.000115387, 0.00478865, -0.0201475, -0.00763069, 0.000406734, -0.0285146, -0.00249856, 0.00484124, -0.005599, -0.000154209, 8.89699e-05, 0.00183738, -0.00394908, 0.00411187, -0.00121338, 0.00144228, -0.0138047, 0.0250766, -0.00526961, 0.0640677, -0.000414293, -0.0536402, 0.012048, -0.0350283, 0.0089185, 0.010736, -0.0309577, 0.0648192, -0.0335559, 0.0047937, 0.0316384, 0.000766992, -0.00747817, 0.00230098, -0.0022051, -0.0132306, 0.0203253, 0.000671118, 0.0276117, 0.0128471, 0.0419928, 0.00814929, 0.0186954, -0.00862866, 0.00575244, -0.00421846, 0.0657696, 0.00095874, 0.0377744, 0.00143811, -0.0864784, 0, -0.08, 0, 0, 0.08, 0, 0.104732, -0.371841, 0, 0.0217009, -0.0313308, 0.0410902, 25378, -0.00507813, 0.0271658, 0.000831237, -0.0848911, -0.0886069, 1.2427, -0.0855602, -0.0886069, 1.17644, -0.0855602, -0.0868226, 1.03776, -0.0848911, -0.0868226, 1.10402, -0.0903486, -0.0147998, 1.4165, -0.0910173, -0.0147998, 1.35019, -0.0910173, -0.0130166, 1.21145, -0.0903486, -0.0130166, 1.27776
0.11285, -0.00191918, 0.00280565, -0.463869, 0.0670398, 0.000292481, 1.23264, -0.461744, 0.0695976, -0.00046036, 1.22828, 0.0897037, 0.0257457, -0.00584953, -0.542261, -0.342799, -0.0445768, 0.103723, -0.00762348, 0.00237737, -0.572973, -0.358695, 0.0259839, 0.121952, 9.5874e-05, 0.000383496, -0.455689, 0.0571409, 9.5874e-05, 1.20006, -0.452909, 0.0581955, 0.000671118, 1.19354, 0.0956823, 0.0241603, -0.00690293, -0.544852, -0.346009, -0.0457319, 0.102585, -0.00843691, 0.00325972, -0.577545, -0.359528, 0.0246396, -0.00434121, -0.0252371, 0.747141, 0.0202808, -0.0215618, 0.708409, 0.0188259, -0.0210154, 0.709274, 0, 0.08, 0, -2.77556e-17, 0.08, -2.08167e-16, -0.00393647, 0.080887, -0.000105271,0, -0.08, 0, -0.00642785, -0.0793267, -8.23548e-05, -0.00396395, -0.0803804, -0.000584289, 0.0146796, -0.00226078, 0.0497433, -0.0279698, 0.0148882, -0.00599736, 0.0045492, -0.0251844, -0.00953836, 0.000508418, -0.0248599, -0.00346473, 0.0054904, -0.00678263, -5.33774e-05, 6.72287e-05, 0.002416, -0.00484784, 0.00495132, -0.00146039, 0.0019541, -0.0139865, 0.0296813, -0.00659187, 0.0694677, 0.0219039, -0.0637353, 0.0159425, -0.0392613, 0.00995987, 0.0075645, -0.0129904, 0.0744732, -0.00172573, -0.0325972, 0.047937, -0.000862866, -0.0123678, 0.00278035, -0.0029721, -0.00987503, 0.0191748, 0.000287622, 0.0186954, 0.00862866, 0.0470742, 0.00556069, 0.0278035, -0.00910803, 0.0022051, -0.00441021, 0.060113, -0.00153398, 0.0396918, -0.00498545, -0.0712344, 0, -0.08, 0, 0, 0.08, 0, 0.124838, -0.314936, 0, 0.0194562, -0.0293771, 0.0315127, 25378, -0.00633832, 0.0339326, 0.00103869, -0.0848911, -0.0886069, 1.2427, -0.0855602, -0.0886069, 1.17644, -0.0855602, -0.0868226, 1.03776, -0.0848911, -0.0868226, 1.10402, -0.0903486, -0.0147998, 1.4165, -0.0910173, -0.0147998, 1.35019, -0.0910173, -0.0130166, 1.21145, -0.0903486, -0.0130166, 1.27776
0.112748, -0.00195548, 0.00286423, -0.463919, 0.067029, 0.000296143, 1.23266, -0.461772, 0.0696421, -0.000473603, 1.2283, 0.0895593, 0.0260806, -0.00592797, -0.5417, -0.342441, -0.0453055, 0.103913, -0.00805056, 0.00248472, -0.573102, -0.358721, 0.0268153, 0.122048, -0.000671118, 0.000671118, -0.455593, 0.057045, 0, 1.20006, -0.452909, 0.0581955, 0.000575244, 1.19373, 0.0954905, 0.024352, -0.00690293, -0.544373, -0.346009, -0.0459237, 0.102681, -0.00862866, 0.00325972, -0.577641, -0.359623, 0.0245438, -0.00417901, -0.025367, 0.747176, 0.0204393, -0.0217468, 0.70843, 0.0185741, -0.0211108, 0.709279, 0, 0.08, 0, 1.38778e-17, 0.08, 1.38778e-17, -0.0038332, 0.0809436, -0.000126215,0, -0.08, 0, -0.00643939, -0.0793092, -3.2713e-05, -0.00385651, -0.0802605, -0.00054628, 0.0147853, -0.00217099, 0.0465055, -0.0301982, 0.0170504, -0.00977294, 0.00479691, -0.0302213, -0.011446, 0.000610101, -0.0102104, -0.00362927, 0.00585781, -0.00501183, -0.00108279, 0.00036629, 0.00184452, -0.00284589, 0.00444971, -0.00132431, 0.00132468, -0.0144367, 0.0334886, -0.00784372, 0.05608, 0.0358071, -0.0728621, 0.0189055, -0.0427085, 0.0107347, -0.0128955, -0.00260928, 0.0831334, -0.00239685, -0.0584832, 0.0268447, -0.000766992, -0.0128471, 0.0025886, -0.00335559, -0.00834104, 0.0175449, 0, 0.0130389, 0.00584832, 0.0496627, 0.00402671, 0.0348023, -0.00891629, -0.00105461, -0.00373909, 0.0537853, -0.00469783, 0.0396918, -0.0077658, -0.0580997, 0, -0.08, 0, 0, 0.08, 0, 0.12588, -0.226346, 0, 0.0170576, -0.0276871, 0.0155394, 25378, -0.00759104, 0.0406797, 0.00124587, -0.0848911, -0.0886069, 1.2427, -0.0855602, -0.0886069, 1.17644, -0.0855602, -0.0868226, 1.03776, -0.0848911, -0.0868226, 1.10402, -0.0903486, -0.0147998, 1.4165, -0.0910173, -0.0147998, 1.35019, -0.0910173, -0.0130166, 1.21145, -0.0903486, -0.0130166, 1.27776
0.112753, -0.00199571, 0.00292643, -0.463964, 0.0670134, 0.000301213, 1.23268, -0.461794, 0.0696871, -0.000487066, 1.22831, 0.0894157, 0.0264513, -0.00601844, -0.541203, -0.341883, -0.0461149, 0.104135, -0.0085102, 0.00259967, -0.573361, -0.358579, 0.0277232, 0.121952, -0.00172573, 0.00105461, -0.455689, 0.0571409, 9.5874e-05, 1.19996, -0.452909, 0.0583873, 0.000671118, 1.1943, 0.0953947, 0.0242561, -0.00680706, -0.543702, -0.345914, -0.0461154, 0.102777, -0.00882041, 0.00306797, -0.577545, -0.359623, 0.024352, -0.00401463, -0.0254995, 0.747207, 0.0206024, -0.0219837, 0.708447, 0.0182719, -0.0212253, 0.709285, 0, 0.08, 0, 1.38778e-17, 0.08, -1.38778e-16, -0.00394302, 0.081245, -0.000109217,0, -0.08, 0, -0.00652746, -0.0790939, -2.35188e-05, -0.00396643, -0.079899, -0.000511406, 0.0146756, -0.00183853, 0.0427378, -0.0317893, 0.0192881, -0.016057, 0.00479995, -0.0352581, -0.0133537, 0.000711785, 0.000512469, -0.00402369, 0.00621974, -0.0045409, -0.00155804, 0.000506934, 0.00180281, -0.00215622, 0.00450468, -0.00134638, 0.00123003, -0.0143597, 0.0370635, -0.00904648, 0.0497036, 0.0558381, -0.0809384, 0.0222251, -0.0459638, 0.0114953, -0.0259154, 0.0141517, 0.0907906, -0.00115049, -0.095874, 0.0268447, -0.000383496, -0.0101626, 0.00230098, -0.00364321, -0.00709468, 0.0149563, -0.000191748, 0.0077658, 0.00488958, 0.048704, 0.00469783, 0.0450608, -0.0069988, -0.00623181, -0.00201335, 0.0404588, -0.0109296, 0.0339394, -0.00891629, -0.032693, 0, -0.08, 0, 0, 0.08, 0, 0.100245, -0.157949, 0, 0.015348, -0.0278329, 0.0026554, 25378, -0.00883441, 0.047402, 0.00145269, -0.0848911, -0.0886069, 1.2427, -0.0855602, -0.0886069, 1.17644, -0.0855602, -0.0868226, 1.03776, -0.0848911, -0.0868226, 1.10402, -0.0903486, -0.0147998, 1.4165, -0.0910173, -0.0147998, 1.35019, -0.0910173, -0.0130166, 1.21145, -0.0903486, -0.0130166, 1.27776
0.112854, -0.00203628, 0.00298754, -0.464007, 0.0669967, 0.000306601, 1.2327, -0.461812, 0.0697316, -0.000500378, 1.22832, 0.0892876, 0.026826, -0.00611331, -0.540781, -0.341131, -0.0469319, 0.104376, -0.00897079, 0.00271388, -0.5737, -0.358245, 0.0286344, 0.121856, -0.0029721, 0.00153398, -0.455689, 0.057045, 0.000191748, 1.20015, -0.452909, 0.0586749, 0.000575244, 1.19459, 0.0952029, 0.0241603, -0.00680706, -0.543031, -0.345722, -0.0467865, 0.102777, -0.00901216, 0.0029721, -0.577449, -0.359528, 0.0244479, -0.00390556, -0.0259576, 0.747188, 0.0206995, -0.0225508, 0.708418, 0.0179193, -0.0213588, 0.709292, 0, 0.08, 0, 8.32667e-17, 0.08, 1.11022e-16, -0.00401757, 0.0815871, -9.00771e-05,0, -0.08, 0, -0.00660227, -0.0788645, -8.84366e-05, -0.00402613, -0.0794995, -0.000541956, 0.0146088, -0.00146506, 0.0392008, -0.0325438, 0.0185289, -0.0281933, 0.00351428, -0.040295, -0.0152614, 0.000813468, 0.0101009, -0.00405714, 0.00611142, -0.00427286, -0.00166983, 0.000538813, 0.00185571, -0.00186259, 0.00444654, -0.00133113, 0.00127733, -0.0128059, 0.0374745, -0.00948726, 0.0421633, 0.0751757, -0.0817048, 0.0241658, -0.0460591, 0.0114207, -0.0339779, 0.0334675, 0.0911236, -0.0107379, -0.116008, 0.0508132, 0, -0.0077658, 0.00421846, -0.00373909, -0.00613594, 0.0170656, -0.000287622, 0.00709468, 0.00162986, 0.0430474, 0.00345147, 0.0518679, -0.00287622, -0.0222428, 0, 0.02742, -0.014477, 0.0287622, -0.00690293, -0.00162986, 0, -0.08, 0, 0, 0.08, 0, 0.0612176, -0.0777655, 0, 0.0132547, -0.0282615, -0.0120526, 25378, -0.0100666, 0.0540947, 0.00165909, -0.0848911, -0.0886069, 1.2427, -0.0855602, -0.0886069, 1.17644, -0.0855602, -0.0868226, 1.03776, -0.0848911, -0.0868226, 1.10402, -0.0903486, -0.0147998, 1.4165, -0.0910173, -0.0147998, 1.35019, -0.0910173, -0.0130166, 1.21145, -0.0903486, -0.0130166, 1.27776
0.112978, -0.00207803, 0.00304349, -0.464064, 0.0669886, 0.00030949, 1.23272, -0.461847, 0.0697811, -0.000515089, 1.22834, 0.0891916, 0.027174, -0.00620463, -0.540349, -0.340162, -0.0476818, 0.104626, -0.00940141, 0.0028198, -0.573975, -0.357661, 0.0294742, 0.121281, -0.00412258, 0.00201335, -0.455689, 0.0571409, 0.000191748, 1.20015, -0.453005, 0.058579, 0.000575244, 1.19469, 0.0949153, 0.0242561, -0.00680706, -0.542455, -0.345434, -0.047937, 0.102777, -0.00929978, 0.00287622, -0.577449, -0.359623, 0.0249272, -0.00389438, -0.0267381, 0.747124, 0.0206684, -0.0233897, 0.708364, 0.0175163, -0.0215114, 0.7093, 0, 0.08, 0, 1.38778e-17, 0.08, 1.249e-16, -0.00400976, 0.0818276, -8.07163e-05,0, -0.08, 0, -0.00658206, -0.0786981, -0.000197179, -0.0040103, -0.0792044, -0.000628408, 0.0146209, -0.00119526, 0.0365406, -0.0322332, 0.013883, -0.0369997, 0.0020582, -0.0453319, -0.017169, 0.000915152, 0.0123655, -0.00417489, 0.00559534, -0.00573824, -0.000810306, 0.00028895, 0.00259162, -0.00348439, 0.00495095, -0.0014711, 0.00205437, -0.00959862, 0.0347948, -0.00913264, 0.0432601, 0.0969168, -0.0749919, 0.0249723, -0.0430619, 0.0105923, -0.0274314, 0.058354, 0.0839795, -0.0287622, -0.0709468, 0.029721, 9.5874e-05, -0.00565657, 0.00383496, -0.00373909, -0.00508132, 0.016778, -0.000383496, 0.00412258, -0.00354734, 0.0393084, 0.00210923, 0.0564698, 0.00536895, -0.0452525, 0.00182161, 0.0151481, -0.0162027, 0.0239685, -0.00508132, 0.0337477, 0, -0.08, 0, 0, 0.08, 0, 0.0401684, -0.0114406, 0, 0.0116462, -0.0287798, -0.0236392, 25378, -0.0112857, 0.0607529, 0.00186499, -0.0848911, -0.0886069, 1.2427, -0.0855602, -0.0886069, 1.17644, -0.0855602, -0.0868226, 1.03776, -0.0848911, -0.0868226, 1.10402, -0.0903486, -0.0147998, 1.4165, -0.0910173, -0.0147998, 1.35019, -0.0910173, -0.0130166, 1.21145, -0.0903486, -0.0130166, 1.27776
0.113145, -0.00211928, 0.00309466, -0.464127, 0.0669846, 0.000311152, 1.23275, -0.461888, 0.0698317, -0.000530075, 1.22837, 0.0891203, 0.0275, -0.00629337, -0.539949, -0.339039, -0.0483796, 0.104881, -0.00980697, 0.00291889, -0.574237, -0.356898, 0.0302577, 0.120993, -0.00450608, 0.00210923, -0.455785, 0.0571409, 9.5874e-05, 1.20015, -0.453005, 0.058579, 0.000575244, 1.19469, 0.0946277, 0.024352, -0.00680706, -0.542168, -0.344955, -0.0488958, 0.102777, -0.00949153, 0.00287622, -0.577545, -0.359623, 0.0255984, -0.00410614, -0.0273878, 0.747058, 0.0204384, -0.0240272, 0.708318, 0.017063, -0.0216831, 0.709309, 0, 0.08, 0, 2.77556e-17, 0.08, 8.32667e-17, -0.00385887, 0.0820408, -0.000100414,0, -0.08, 0, -0.00647732, -0.0786108, -0.000294299, -0.00385409, -0.0789393, -0.000718478, 0.0147747, -0.000954523, 0.0346514, -0.0309718, 0.00921129, -0.0381409, 0.000804725, -0.0503688, -0.0190767, 0.00101684, 0.0166931, -0.00412473, 0.00511681, -0.00623715, -0.000393254, 0.000166126, 0.00291668, -0.00411188, 0.00505785, -0.00149859, 0.00241221, -0.00713562, 0.032609, -0.00887359, 0.0400218, 0.112246, -0.06978, 0.0254753, -0.0405558, 0.00990954, -0.0262005, 0.0762876, 0.0783449, -0.0125595, -0.00862866, 0.0143811, 0.000287622, -0.00431433, 0.00325972, -0.00364321, -0.00402671, 0.0112173, -0.00047937, 0.00143811, -0.00747817, 0.0371033, 0.00115049, 0.0572368, 0.0145729, -0.0587708, 0.00153398, 0.00613594, -0.0162986, 0.0196542, -0.00354734, 0.0778497, 0, -0.08, 0, 0, 0.08, 0, 0.0470958, 0.0160789, 0, 0.0111582, -0.0286714, -0.0282226, 25378, -0.0124898, 0.0673715, 0.00207033, -0.0848911, -0.0886069, 1.2427, -0.0855602, -0.0886069, 1.17644, -0.0855602, -0.0868226, 1.03776, -0.0848911, -0.0868226, 1.10402, -0.0903486, -0.0147998, 1.4165, -0.0910173, -0.0147998, 1.35019, -0.0910173, -0.0130166, 1.21145, -0.0903486, -0.0130166, 1.27776
